epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,1580.86,2.51052,1.41999,0.95561,0.07728,0.31797,0.05348,0.018,2.16282,17.7363,0.8623,0.0074656,0.0074656,0.0074656
130,1595.35,2.47378,1.38275,0.94111,0.06613,0.21094,0.04429,0.01419,2.05243,16.8047,0.85564,0.0074458,0.0074458,0.0074458
131,1610.01,2.51367,1.416,0.9583,0.07546,0.31755,0.05126,0.01622,2.0956,17.8381,0.85831,0.007426,0.007426,0.007426
132,1624.51,2.49383,1.38906,0.94425,0.07633,0.24033,0.05072,0.01685,2.14848,16.0755,0.87775,0.0074062,0.0074062,0.0074062
133,1639.16,2.52672,1.39219,0.9412,0.07522,0.27499,0.05171,0.01281,2.281,17.3287,0.86928,0.0073864,0.0073864,0.0073864
134,1653.63,2.49216,1.40458,0.95627,0.08187,0.33173,0.05733,0.01796,2.11274,15.3153,0.85318,0.0073666,0.0073666,0.0073666
135,1668.17,2.44681,1.372,0.94932,0.07707,0.26081,0.05583,0.01719,2.21176,17.5476,0.8597,0.0073468,0.0073468,0.0073468
136,1682.8,2.48309,1.34407,0.9497,0.08073,0.34958,0.05995,0.01675,2.09073,17.4559,0.85239,0.007327,0.007327,0.007327
137,1697.26,2.46756,1.38312,0.94587,0.08028,0.26424,0.05756,0.01735,2.08725,17.3173,0.84412,0.0073072,0.0073072,0.0073072
138,1711.85,2.48733,1.38783,0.94295,0.09255,0.24983,0.0563,0.01796,2.08399,16.2816,0.854,0.0072874,0.0072874,0.0072874
139,1726.62,2.48585,1.40865,0.94915,0.05031,0.17525,0.03371,0.01075,2.20972,15.7727,0.85349,0.0072676,0.0072676,0.0072676
140,1741.18,2.4934,1.38681,0.94416,0.05867,0.23564,0.03829,0.01265,2.06968,15.9595,0.84645,0.0072478,0.0072478,0.0072478
141,1756.01,2.47436,1.36177,0.96208,0.07616,0.32607,0.04845,0.01702,2.20744,15.0072,0.84382,0.007228,0.007228,0.007228
142,1770.69,2.50354,1.39455,0.9466,0.06645,0.23244,0.0452,0.01691,2.05166,14.9184,0.83958,0.0072082,0.0072082,0.0072082
143,1785.46,2.41162,1.3265,0.9482,0.07925,0.26173,0.05539,0.01848,2.01263,17.3389,0.84841,0.0071884,0.0071884,0.0071884
